AuthID,Author
4946,"Alizadeh, Karim"
16091,"Alizon, Samuel"
13150,"Alkan, Can"
8460,"Alkema, Mark"
10249,"Alkema, Mark J."
22584,"Alkhaled, A."
10316,"Allahabadi, Sachin"
48,"Allain, Alex"
27265,"Allais, Andrea"
12168,"Allalou, Amin"
2041,"Allamandola, Louis J."
24759,"Allbrooke, B. M. M."
1824,"Allcott, Hunt"
1564,"Alldrin, Neil"
11369,"Allen, Benjamin"
9762,"Allen, Benjamin Isaac"
14809,"Allen, Branden T"
3619,"Allen, Colin"
23512,"Allen, Dale J."
6877,"Allen, M. David"
20703,"Allen, M. T."
7613,"Allen, Monica"
13794,"Allen, Monica Theresa"
14208,"Allen, Rachel L."
7334,"Allen, Richard"
27283,"Allen, S. W."
13014,"Alley, Ian"
21600,"Allik, Jüri"
24760,"Allison, L. J."
2719,"Allison, Paul D."
367,"Allison, W. W. M."
2506,"Allmendinger, Jutta"
4975,"Allmendinger, Richard W."
25117,"Allouba, Mona"
17071,"Allport, P. P."
6699,"Allwood, Abigail"
4341,"Allwood, Abigail C."
17072,"Allwood-Spiers, S. E."
15623,"Almasy, Laura"
12732,"Almazor, Charles P."
13306,"Almeida, Deepak V."
22351,"Almeida, Francisca C."
15624,"Almeida, Jorge"
7462,"Almeida, Jorge Manuel"
6580,"Almeida, M. P."
6971,"Almeida, Rodrigo P. P."
25949,"Almenar, C. Cuenca"
5119,"Almenara, J.M."
26470,"Almendro, Vanessa"
13508,"Almeyda Zambrano, Angélica M."
17073,"Almond, J."
348,"Alner, G. J."
17074,"Aloisio, A."
12746,"Alon, Elad"
17075,"Alon, R."
6241,"Alon, Uri"
17076,"Alonso, A."
22078,"Alonso, Almaris N."
23901,"Alonso, Alvaro"
22352,"Alonso, Claudio R."
24761,"Alonso, F."
6008,"Alonso, Jordi"
5115,"Alonso, R."
5184,"Alonso, Roi"
16092,"Alpedrinha, Joao A. C."
21396,"Alpert, Gary D."
15625,"Alpert, Kathryn"
3797,"Alpert, Nathaniel Moritz"
25129,"Alpigiani, C."
